
studentNumber,studentGender,studentBDate,studentNetAccess,firstName,lastName,relationID,healthID,activityID
196000032,F,,Y,PrimeiroNome31,UltimoNome31,,,
196000033,F,,Y,PrimeiroNome32,UltimoNome32,,,
196000034,F,,Y,PrimeiroNome33,UltimoNome33,,,
196000035,F,,Y,PrimeiroNome34,UltimoNome34,,,
196000036,F,,Y,PrimeiroNome35,UltimoNome35,,,
196000037,F,,Y,PrimeiroNome36,UltimoNome36,,,
196000038,F,,Y,PrimeiroNome37,UltimoNome37,,,
196000039,F,,Y,PrimeiroNome38,UltimoNome38,,,
196000040,F,,Y,PrimeiroNome39,UltimoNome39,,,
196000041,F,,Y,PrimeiroNome40,UltimoNome40,,,
196000042,F,,Y,PrimeiroNome41,UltimoNome41,,,
196000043,F,,Y,PrimeiroNome42,UltimoNome42,,,
196000044,F,,Y,PrimeiroNome43,UltimoNome43,,,
196000045,F,,Y,PrimeiroNome44,UltimoNome44,,,
196000046,F,,Y,PrimeiroNome45,UltimoNome45,,,
196000047,F,,Y,PrimeiroNome46,UltimoNome46,,,
196000048,F,,Y,PrimeiroNome47,UltimoNome47,,,
196000049,F,,Y,PrimeiroNome48,UltimoNome48,,,
196000050,F,,Y,PrimeiroNome49,UltimoNome49,,,
196000051,F,,Y,PrimeiroNome50,UltimoNome50,,,
196000052,F,,Y,PrimeiroNome51,UltimoNome51,,,
196000053,F,,Y,PrimeiroNome52,UltimoNome52,,,
196000054,F,,Y,PrimeiroNome53,UltimoNome53,,,
196000055,F,,Y,PrimeiroNome54,UltimoNome54,,,
196000056,F,,Y,PrimeiroNome55,UltimoNome55,,,
196000057,F,,Y,PrimeiroNome56,UltimoNome56,,,
196000058,F,,Y,PrimeiroNome57,UltimoNome57,,,
196000059,F,,Y,PrimeiroNome58,UltimoNome58,,,
196000060,F,,Y,PrimeiroNome59,UltimoNome59,,,
196000061,F,,Y,PrimeiroNome60,UltimoNome60,,,
196000062,F,,Y,PrimeiroNome61,UltimoNome61,,,
196000063,F,,Y,PrimeiroNome62,UltimoNome62,,,
196000064,F,,Y,PrimeiroNome63,UltimoNome63,,,
196000065,F,,Y,PrimeiroNome64,UltimoNome64,,,
196000066,F,,Y,PrimeiroNome65,UltimoNome65,,,
196000067,F,,Y,PrimeiroNome66,UltimoNome66,,,
196000068,F,,Y,PrimeiroNome67,UltimoNome67,,,
196000069,F,,Y,PrimeiroNome68,UltimoNome68,,,
196000070,F,,Y,PrimeiroNome69,UltimoNome69,,,
196000071,F,,Y,PrimeiroNome70,UltimoNome70,,,
196000072,F,,Y,PrimeiroNome71,UltimoNome71,,,
196000073,F,,Y,PrimeiroNome72,UltimoNome72,,,
196000074,F,,Y,PrimeiroNome73,UltimoNome73,,,
196000075,F,,Y,PrimeiroNome74,UltimoNome74,,,
196000076,F,,Y,PrimeiroNome75,UltimoNome75,,,
196000077,F,,Y,PrimeiroNome76,UltimoNome76,,,
196000078,F,,Y,PrimeiroNome77,UltimoNome77,,,
196000079,F,,Y,PrimeiroNome78,UltimoNome78,,,
196000080,F,,Y,PrimeiroNome79,UltimoNome79,,,
196000081,F,,Y,PrimeiroNome80,UltimoNome80,,,
196000082,F,,Y,PrimeiroNome81,UltimoNome81,,,
196000083,F,,Y,PrimeiroNome82,UltimoNome82,,,
196000084,F,,Y,PrimeiroNome83,UltimoNome83,,,
196000085,F,,Y,PrimeiroNome84,UltimoNome84,,,
196000086,F,,Y,PrimeiroNome85,UltimoNome85,,,
196000087,F,,Y,PrimeiroNome86,UltimoNome86,,,
196000088,F,,Y,PrimeiroNome87,UltimoNome87,,,
196000089,F,,Y,PrimeiroNome88,UltimoNome88,,,
196000090,F,,Y,PrimeiroNome89,UltimoNome89,,,
196000091,F,,Y,PrimeiroNome90,UltimoNome90,,,
196000092,F,,Y,PrimeiroNome91,UltimoNome91,,,
196000093,F,,Y,PrimeiroNome92,UltimoNome92,,,
196000094,F,,Y,PrimeiroNome93,UltimoNome93,,,
196000095,F,,Y,PrimeiroNome94,UltimoNome94,,,
196000096,F,,Y,PrimeiroNome95,UltimoNome95,,,
196000097,F,,Y,PrimeiroNome96,UltimoNome96,,,
196000098,F,,Y,PrimeiroNome97,UltimoNome97,,,
196000099,F,,Y,PrimeiroNome98,UltimoNome98,,,
196000100,F,,Y,PrimeiroNome99,UltimoNome99,,,
196000101,F,,Y,PrimeiroNome100,UltimoNome100,,,
196000102,F,,Y,PrimeiroNome101,UltimoNome101,,,
196000103,F,,Y,PrimeiroNome102,UltimoNome102,,,
196000104,F,,Y,PrimeiroNome103,UltimoNome103,,,
196000105,F,,Y,PrimeiroNome104,UltimoNome104,,,
196000106,F,,Y,PrimeiroNome105,UltimoNome105,,,
196000107,F,,Y,PrimeiroNome106,UltimoNome106,,,
196000108,F,,Y,PrimeiroNome107,UltimoNome107,,,
196000109,F,,Y,PrimeiroNome108,UltimoNome108,,,
196000110,F,,Y,PrimeiroNome109,UltimoNome109,,,
196000111,F,,Y,PrimeiroNome110,UltimoNome110,,,
196000112,F,,Y,PrimeiroNome111,UltimoNome111,,,
196000113,F,,Y,PrimeiroNome112,UltimoNome112,,,
196000114,F,,Y,PrimeiroNome113,UltimoNome113,,,
196000115,F,,Y,PrimeiroNome114,UltimoNome114,,,
196000116,F,,Y,PrimeiroNome115,UltimoNome115,,,
196000117,F,,Y,PrimeiroNome116,UltimoNome116,,,
196000118,F,,Y,PrimeiroNome117,UltimoNome117,,,
196000119,F,,Y,PrimeiroNome118,UltimoNome118,,,
196000120,F,,Y,PrimeiroNome119,UltimoNome119,,,
196000121,F,,Y,PrimeiroNome120,UltimoNome120,,,
196000122,F,,Y,PrimeiroNome121,UltimoNome121,,,
196000123,F,,Y,PrimeiroNome122,UltimoNome122,,,
196000124,F,,Y,PrimeiroNome123,UltimoNome123,,,
196000125,F,,Y,PrimeiroNome124,UltimoNome124,,,
196000126,F,,Y,PrimeiroNome125,UltimoNome125,,,
196000127,F,,Y,PrimeiroNome126,UltimoNome126,,,
196000128,F,,Y,PrimeiroNome127,UltimoNome127,,,
196000129,F,,Y,PrimeiroNome128,UltimoNome128,,,
196000130,F,,Y,PrimeiroNome129,UltimoNome129,,,
196000131,F,,Y,PrimeiroNome130,UltimoNome130,,,
196000132,F,,Y,PrimeiroNome131,UltimoNome131,,,
196000133,F,,Y,PrimeiroNome132,UltimoNome132,,,
196000134,F,,Y,PrimeiroNome133,UltimoNome133,,,
196000135,F,,Y,PrimeiroNome134,UltimoNome134,,,
196000136,F,,Y,PrimeiroNome135,UltimoNome135,,,
196000137,F,,Y,PrimeiroNome136,UltimoNome136,,,
196000138,F,,Y,PrimeiroNome137,UltimoNome137,,,
196000139,F,,Y,PrimeiroNome138,UltimoNome138,,,
196000140,F,,Y,PrimeiroNome139,UltimoNome139,,,
196000141,F,,Y,PrimeiroNome140,UltimoNome140,,,
196000142,F,,Y,PrimeiroNome141,UltimoNome141,,,
196000143,F,,Y,PrimeiroNome142,UltimoNome142,,,
196000144,F,,Y,PrimeiroNome143,UltimoNome143,,,
196000145,F,,Y,PrimeiroNome144,UltimoNome144,,,
196000146,F,,Y,PrimeiroNome145,UltimoNome145,,,
196000147,F,,Y,PrimeiroNome146,UltimoNome146,,,
196000148,F,,Y,PrimeiroNome147,UltimoNome147,,,
196000149,F,,Y,PrimeiroNome148,UltimoNome148,,,
196000150,F,,Y,PrimeiroNome149,UltimoNome149,,,
196000151,F,,Y,PrimeiroNome150,UltimoNome150,,,
196000152,F,,Y,PrimeiroNome151,UltimoNome151,,,
196000153,F,,Y,PrimeiroNome152,UltimoNome152,,,
196000154,F,,Y,PrimeiroNome153,UltimoNome153,,,
196000155,F,,Y,PrimeiroNome154,UltimoNome154,,,
196000156,F,,Y,PrimeiroNome155,UltimoNome155,,,
196000157,F,,Y,PrimeiroNome156,UltimoNome156,,,
196000158,F,,Y,PrimeiroNome157,UltimoNome157,,,
196000159,F,,Y,PrimeiroNome158,UltimoNome158,,,
196000160,F,,Y,PrimeiroNome159,UltimoNome159,,,
196000161,F,,Y,PrimeiroNome160,UltimoNome160,,,
196000162,F,,Y,PrimeiroNome161,UltimoNome161,,,
196000163,F,,Y,PrimeiroNome162,UltimoNome162,,,
196000164,F,,Y,PrimeiroNome163,UltimoNome163,,,
196000165,F,,Y,PrimeiroNome164,UltimoNome164,,,
196000166,F,,Y,PrimeiroNome165,UltimoNome165,,,
196000167,F,,Y,PrimeiroNome166,UltimoNome166,,,
196000168,F,,Y,PrimeiroNome167,UltimoNome167,,,
196000169,F,,Y,PrimeiroNome168,UltimoNome168,,,
196000170,F,,Y,PrimeiroNome169,UltimoNome169,,,
196000171,F,,Y,PrimeiroNome170,UltimoNome170,,,
196000172,F,,Y,PrimeiroNome171,UltimoNome171,,,
196000173,F,,Y,PrimeiroNome172,UltimoNome172,,,
196000174,F,,Y,PrimeiroNome173,UltimoNome173,,,
196000175,F,,Y,PrimeiroNome174,UltimoNome174,,,
196000176,F,,Y,PrimeiroNome175,UltimoNome175,,,
196000177,F,,Y,PrimeiroNome176,UltimoNome176,,,
196000178,F,,Y,PrimeiroNome177,UltimoNome177,,,
196000179,F,,Y,PrimeiroNome178,UltimoNome178,,,
196000180,F,,Y,PrimeiroNome179,UltimoNome179,,,
196000181,F,,Y,PrimeiroNome180,UltimoNome180,,,
196000182,F,,Y,PrimeiroNome181,UltimoNome181,,,
196000183,F,,Y,PrimeiroNome182,UltimoNome182,,,
196000184,F,,Y,PrimeiroNome183,UltimoNome183,,,
196000185,F,,Y,PrimeiroNome184,UltimoNome184,,,
196000186,F,,Y,PrimeiroNome185,UltimoNome185,,,
196000187,F,,Y,PrimeiroNome186,UltimoNome186,,,
196000188,F,,Y,PrimeiroNome187,UltimoNome187,,,
196000189,F,,Y,PrimeiroNome188,UltimoNome188,,,
196000190,F,,Y,PrimeiroNome189,UltimoNome189,,,
196000191,F,,Y,PrimeiroNome190,UltimoNome190,,,
196000192,F,,Y,PrimeiroNome191,UltimoNome191,,,
196000193,F,,Y,PrimeiroNome192,UltimoNome192,,,
196000194,F,,Y,PrimeiroNome193,UltimoNome193,,,
196000195,F,,Y,PrimeiroNome194,UltimoNome194,,,
196000196,F,,Y,PrimeiroNome195,UltimoNome195,,,
196000197,F,,Y,PrimeiroNome196,UltimoNome196,,,
196000198,F,,Y,PrimeiroNome197,UltimoNome197,,,
196000199,F,,Y,PrimeiroNome198,UltimoNome198,,,
196000200,F,,Y,PrimeiroNome199,UltimoNome199,,,
196000201,F,,Y,PrimeiroNome200,UltimoNome200,,,
196000202,F,,Y,PrimeiroNome201,UltimoNome201,,,
196000203,F,,Y,PrimeiroNome202,UltimoNome202,,,
196000204,F,,Y,PrimeiroNome203,UltimoNome203,,,
196000205,F,,Y,PrimeiroNome204,UltimoNome204,,,
196000206,F,,Y,PrimeiroNome205,UltimoNome205,,,
196000207,F,,Y,PrimeiroNome206,UltimoNome206,,,
196000208,F,,Y,PrimeiroNome207,UltimoNome207,,,
196000209,F,,Y,PrimeiroNome208,UltimoNome208,,,
196000210,F,,Y,PrimeiroNome209,UltimoNome209,,,
196000211,F,,Y,PrimeiroNome210,UltimoNome210,,,
196000212,F,,Y,PrimeiroNome211,UltimoNome211,,,
196000213,F,,Y,PrimeiroNome212,UltimoNome212,,,
196000214,F,,Y,PrimeiroNome213,UltimoNome213,,,
196000215,F,,Y,PrimeiroNome214,UltimoNome214,,,
196000216,F,,Y,PrimeiroNome215,UltimoNome215,,,
196000217,F,,Y,PrimeiroNome216,UltimoNome216,,,
196000218,F,,Y,PrimeiroNome217,UltimoNome217,,,
196000219,F,,Y,PrimeiroNome218,UltimoNome218,,,
196000220,F,,Y,PrimeiroNome219,UltimoNome219,,,
196000221,F,,Y,PrimeiroNome220,UltimoNome220,,,
196000222,F,,Y,PrimeiroNome221,UltimoNome221,,,
196000223,F,,Y,PrimeiroNome222,UltimoNome222,,,
196000224,F,,Y,PrimeiroNome223,UltimoNome223,,,
196000225,F,,Y,PrimeiroNome224,UltimoNome224,,,
196000226,F,,Y,PrimeiroNome225,UltimoNome225,,,
196000227,F,,Y,PrimeiroNome226,UltimoNome226,,,
196000228,F,,Y,PrimeiroNome227,UltimoNome227,,,
196000229,F,,Y,PrimeiroNome228,UltimoNome228,,,
196000230,F,,Y,PrimeiroNome229,UltimoNome229,,,
196000231,F,,Y,PrimeiroNome230,UltimoNome230,,,
196000232,F,,Y,PrimeiroNome231,UltimoNome231,,,
196000233,F,,Y,PrimeiroNome232,UltimoNome232,,,
196000234,F,,Y,PrimeiroNome233,UltimoNome233,,,
196000235,F,,Y,PrimeiroNome234,UltimoNome234,,,
196000236,F,,Y,PrimeiroNome235,UltimoNome235,,,
196000237,F,,Y,PrimeiroNome236,UltimoNome236,,,
196000238,F,,Y,PrimeiroNome237,UltimoNome237,,,
196000239,F,,Y,PrimeiroNome238,UltimoNome238,,,
196000240,F,,Y,PrimeiroNome239,UltimoNome239,,,
196000241,F,,Y,PrimeiroNome240,UltimoNome240,,,
196000242,F,,Y,PrimeiroNome241,UltimoNome241,,,
196000243,F,,Y,PrimeiroNome242,UltimoNome242,,,
196000244,F,,Y,PrimeiroNome243,UltimoNome243,,,
196000245,F,,Y,PrimeiroNome244,UltimoNome244,,,
196000246,F,,Y,PrimeiroNome245,UltimoNome245,,,
196000247,F,,Y,PrimeiroNome246,UltimoNome246,,,
196000248,F,,Y,PrimeiroNome247,UltimoNome247,,,
196000249,F,,Y,PrimeiroNome248,UltimoNome248,,,
196000250,F,,Y,PrimeiroNome249,UltimoNome249,,,
196000251,F,,Y,PrimeiroNome250,UltimoNome250,,,
196000252,F,,Y,PrimeiroNome251,UltimoNome251,,,
196000253,F,,Y,PrimeiroNome252,UltimoNome252,,,
196000254,F,,Y,PrimeiroNome253,UltimoNome253,,,
196000255,F,,Y,PrimeiroNome254,UltimoNome254,,,
196000256,F,,Y,PrimeiroNome255,UltimoNome255,,,
196000257,F,,Y,PrimeiroNome256,UltimoNome256,,,
196000258,F,,Y,PrimeiroNome257,UltimoNome257,,,
196000259,F,,Y,PrimeiroNome258,UltimoNome258,,,
196000260,F,,Y,PrimeiroNome259,UltimoNome259,,,
196000261,F,,Y,PrimeiroNome260,UltimoNome260,,,
196000262,F,,Y,PrimeiroNome261,UltimoNome261,,,
196000263,F,,Y,PrimeiroNome262,UltimoNome262,,,
196000264,F,,Y,PrimeiroNome263,UltimoNome263,,,
196000265,F,,Y,PrimeiroNome264,UltimoNome264,,,
196000266,F,,Y,PrimeiroNome265,UltimoNome265,,,
196000267,F,,Y,PrimeiroNome266,UltimoNome266,,,
196000268,F,,Y,PrimeiroNome267,UltimoNome267,,,
196000269,F,,Y,PrimeiroNome268,UltimoNome268,,,
196000270,F,,Y,PrimeiroNome269,UltimoNome269,,,
196000271,F,,Y,PrimeiroNome270,UltimoNome270,,,
196000272,F,,Y,PrimeiroNome271,UltimoNome271,,,
196000273,F,,Y,PrimeiroNome272,UltimoNome272,,,
196000274,F,,Y,PrimeiroNome273,UltimoNome273,,,
196000275,F,,Y,PrimeiroNome274,UltimoNome274,,,
196000276,F,,Y,PrimeiroNome275,UltimoNome275,,,
196000277,F,,Y,PrimeiroNome276,UltimoNome276,,,
196000278,F,,Y,PrimeiroNome277,UltimoNome277,,,
196000279,F,,Y,PrimeiroNome278,UltimoNome278,,,
196000280,F,,Y,PrimeiroNome279,UltimoNome279,,,
196000281,F,,Y,PrimeiroNome280,UltimoNome280,,,
196000282,F,,Y,PrimeiroNome281,UltimoNome281,,,
196000283,F,,Y,PrimeiroNome282,UltimoNome282,,,
196000284,F,,Y,PrimeiroNome283,UltimoNome283,,,
196000285,F,,Y,PrimeiroNome284,UltimoNome284,,,
196000286,F,,Y,PrimeiroNome285,UltimoNome285,,,
196000287,F,,Y,PrimeiroNome286,UltimoNome286,,,
196000288,F,,Y,PrimeiroNome287,UltimoNome287,,,
196000289,F,,Y,PrimeiroNome288,UltimoNome288,,,
196000290,F,,Y,PrimeiroNome289,UltimoNome289,,,
196000291,F,,Y,PrimeiroNome290,UltimoNome290,,,
196000292,F,,Y,PrimeiroNome291,UltimoNome291,,,
196000293,F,,Y,PrimeiroNome292,UltimoNome292,,,
196000294,F,,Y,PrimeiroNome293,UltimoNome293,,,
196000295,F,,Y,PrimeiroNome294,UltimoNome294,,,
196000296,F,,Y,PrimeiroNome295,UltimoNome295,,,
196000297,F,,Y,PrimeiroNome296,UltimoNome296,,,
196000298,F,,Y,PrimeiroNome297,UltimoNome297,,,
196000299,F,,Y,PrimeiroNome298,UltimoNome298,,,
196000300,F,,Y,PrimeiroNome299,UltimoNome299,,,
196000301,F,,Y,PrimeiroNome300,UltimoNome300,,,
196000302,F,,Y,PrimeiroNome301,UltimoNome301,,,
196000303,F,,Y,PrimeiroNome302,UltimoNome302,,,
196000304,F,,Y,PrimeiroNome303,UltimoNome303,,,
196000305,F,,Y,PrimeiroNome304,UltimoNome304,,,
196000306,F,,Y,PrimeiroNome305,UltimoNome305,,,
196000307,F,,Y,PrimeiroNome306,UltimoNome306,,,
196000308,F,,Y,PrimeiroNome307,UltimoNome307,,,
196000309,F,,Y,PrimeiroNome308,UltimoNome308,,,
196000310,F,,Y,PrimeiroNome309,UltimoNome309,,,
196000311,F,,Y,PrimeiroNome310,UltimoNome310,,,
196000312,F,,Y,PrimeiroNome311,UltimoNome311,,,
196000313,F,,Y,PrimeiroNome312,UltimoNome312,,,
196000314,F,,Y,PrimeiroNome313,UltimoNome313,,,
196000315,F,,Y,PrimeiroNome314,UltimoNome314,,,
196000316,F,,Y,PrimeiroNome315,UltimoNome315,,,
196000317,F,,Y,PrimeiroNome316,UltimoNome316,,,
196000318,F,,Y,PrimeiroNome317,UltimoNome317,,,
196000319,F,,Y,PrimeiroNome318,UltimoNome318,,,
196000320,F,,Y,PrimeiroNome319,UltimoNome319,,,
196000321,F,,Y,PrimeiroNome320,UltimoNome320,,,
196000322,F,,Y,PrimeiroNome321,UltimoNome321,,,
196000323,F,,Y,PrimeiroNome322,UltimoNome322,,,
196000324,F,,Y,PrimeiroNome323,UltimoNome323,,,
196000325,F,,Y,PrimeiroNome324,UltimoNome324,,,
196000326,F,,Y,PrimeiroNome325,UltimoNome325,,,
196000327,F,,Y,PrimeiroNome326,UltimoNome326,,,
196000328,F,,Y,PrimeiroNome327,UltimoNome327,,,
196000329,F,,Y,PrimeiroNome328,UltimoNome328,,,
196000330,F,,Y,PrimeiroNome329,UltimoNome329,,,
196000331,F,,Y,PrimeiroNome330,UltimoNome330,,,
196000332,F,,Y,PrimeiroNome331,UltimoNome331,,,
196000333,F,,Y,PrimeiroNome332,UltimoNome332,,,
196000334,F,,Y,PrimeiroNome333,UltimoNome333,,,
196000335,F,,Y,PrimeiroNome334,UltimoNome334,,,
196000336,F,,Y,PrimeiroNome335,UltimoNome335,,,
196000337,F,,Y,PrimeiroNome336,UltimoNome336,,,
196000338,F,,Y,PrimeiroNome337,UltimoNome337,,,
196000339,F,,Y,PrimeiroNome338,UltimoNome338,,,
196000340,F,,Y,PrimeiroNome339,UltimoNome339,,,
196000341,F,,Y,PrimeiroNome340,UltimoNome340,,,
196000342,F,,Y,PrimeiroNome341,UltimoNome341,,,
196000343,F,,Y,PrimeiroNome342,UltimoNome342,,,
196000344,F,,Y,PrimeiroNome343,UltimoNome343,,,
196000345,F,,Y,PrimeiroNome344,UltimoNome344,,,
196000346,F,,Y,PrimeiroNome345,UltimoNome345,,,
196000347,F,,Y,PrimeiroNome346,UltimoNome346,,,
196000348,F,,Y,PrimeiroNome347,UltimoNome347,,,
196000349,F,,Y,PrimeiroNome348,UltimoNome348,,,
196000350,F,,Y,PrimeiroNome349,UltimoNome349,,,
196000351,F,,Y,PrimeiroNome350,UltimoNome350,,,
196000352,F,,Y,PrimeiroNome351,UltimoNome351,,,
196000353,F,,Y,PrimeiroNome352,UltimoNome352,,,
196000354,F,,Y,PrimeiroNome353,UltimoNome353,,,
196000355,F,,Y,PrimeiroNome354,UltimoNome354,,,
196000356,F,,Y,PrimeiroNome355,UltimoNome355,,,
196000357,F,,Y,PrimeiroNome356,UltimoNome356,,,
196000358,F,,Y,PrimeiroNome357,UltimoNome357,,,
196000359,F,,Y,PrimeiroNome358,UltimoNome358,,,
196000360,F,,Y,PrimeiroNome359,UltimoNome359,,,
196000361,F,,Y,PrimeiroNome360,UltimoNome360,,,
196000362,F,,Y,PrimeiroNome361,UltimoNome361,,,
196000363,F,,Y,PrimeiroNome362,UltimoNome362,,,
196000364,F,,Y,PrimeiroNome363,UltimoNome363,,,
196000365,F,,Y,PrimeiroNome364,UltimoNome364,,,
196000366,F,,Y,PrimeiroNome365,UltimoNome365,,,
196000367,F,,Y,PrimeiroNome366,UltimoNome366,,,
196000368,F,,Y,PrimeiroNome367,UltimoNome367,,,
196000369,F,,Y,PrimeiroNome368,UltimoNome368,,,
196000370,F,,Y,PrimeiroNome369,UltimoNome369,,,
196000371,F,,Y,PrimeiroNome370,UltimoNome370,,,
196000372,F,,Y,PrimeiroNome371,UltimoNome371,,,
196000373,F,,Y,PrimeiroNome372,UltimoNome372,,,
196000374,F,,Y,PrimeiroNome373,UltimoNome373,,,
196000375,F,,Y,PrimeiroNome374,UltimoNome374,,,
196000376,F,,Y,PrimeiroNome375,UltimoNome375,,,
196000377,F,,Y,PrimeiroNome376,UltimoNome376,,,
196000378,F,,Y,PrimeiroNome377,UltimoNome377,,,
196000379,F,,Y,PrimeiroNome378,UltimoNome378,,,
196000380,F,,Y,PrimeiroNome379,UltimoNome379,,,
196000381,F,,Y,PrimeiroNome380,UltimoNome380,,,
196000382,F,,Y,PrimeiroNome381,UltimoNome381,,,
196000383,F,,Y,PrimeiroNome382,UltimoNome382,,,
196000384,F,,Y,PrimeiroNome383,UltimoNome383,,,
196000385,F,,Y,PrimeiroNome384,UltimoNome384,,,
196000386,F,,Y,PrimeiroNome385,UltimoNome385,,,
196000387,F,,Y,PrimeiroNome386,UltimoNome386,,,
196000388,F,,Y,PrimeiroNome387,UltimoNome387,,,
196000389,F,,Y,PrimeiroNome388,UltimoNome388,,,
196000390,F,,Y,PrimeiroNome389,UltimoNome389,,,
196000391,F,,Y,PrimeiroNome390,UltimoNome390,,,
196000392,F,,Y,PrimeiroNome391,UltimoNome391,,,
196000393,F,,Y,PrimeiroNome392,UltimoNome392,,,
196000394,F,,Y,PrimeiroNome393,UltimoNome393,,,
196000395,F,,Y,PrimeiroNome394,UltimoNome394,,,
196000396,F,,Y,PrimeiroNome395,UltimoNome395,,,
196000397,F,,Y,PrimeiroNome396,UltimoNome396,,,
196000398,F,,Y,PrimeiroNome397,UltimoNome397,,,
196000399,F,,Y,PrimeiroNome398,UltimoNome398,,,
196000400,F,,Y,PrimeiroNome399,UltimoNome399,,,
196000401,F,,Y,PrimeiroNome400,UltimoNome400,,,
196000402,F,,Y,PrimeiroNome401,UltimoNome401,,,
196000403,F,,Y,PrimeiroNome402,UltimoNome402,,,
196000404,F,,Y,PrimeiroNome403,UltimoNome403,,,
196000405,F,,Y,PrimeiroNome404,UltimoNome404,,,
196000406,F,,Y,PrimeiroNome405,UltimoNome405,,,
196000407,F,,Y,PrimeiroNome406,UltimoNome406,,,
196000408,F,,Y,PrimeiroNome407,UltimoNome407,,,
196000409,F,,Y,PrimeiroNome408,UltimoNome408,,,
196000410,F,,Y,PrimeiroNome409,UltimoNome409,,,
196000411,F,,Y,PrimeiroNome410,UltimoNome410,,,
196000412,F,,Y,PrimeiroNome411,UltimoNome411,,,
196000413,F,,Y,PrimeiroNome412,UltimoNome412,,,
196000414,F,,Y,PrimeiroNome413,UltimoNome413,,,
196000415,F,,Y,PrimeiroNome414,UltimoNome414,,,
196000416,F,,Y,PrimeiroNome415,UltimoNome415,,,
196000417,F,,Y,PrimeiroNome416,UltimoNome416,,,
196000418,F,,Y,PrimeiroNome417,UltimoNome417,,,
196000419,F,,Y,PrimeiroNome418,UltimoNome418,,,
196000420,F,,Y,PrimeiroNome419,UltimoNome419,,,
196000421,F,,Y,PrimeiroNome420,UltimoNome420,,,
196000422,F,,Y,PrimeiroNome421,UltimoNome421,,,
196000423,F,,Y,PrimeiroNome422,UltimoNome422,,,
196000424,F,,Y,PrimeiroNome423,UltimoNome423,,,
196000425,F,,Y,PrimeiroNome424,UltimoNome424,,,
196000426,F,,Y,PrimeiroNome425,UltimoNome425,,,
196000427,F,,Y,PrimeiroNome426,UltimoNome426,,,
196000428,F,,Y,PrimeiroNome427,UltimoNome427,,,
196000429,F,,Y,PrimeiroNome428,UltimoNome428,,,
196000430,F,,Y,PrimeiroNome429,UltimoNome429,,,
196000431,F,,Y,PrimeiroNome430,UltimoNome430,,,
196000432,F,,Y,PrimeiroNome431,UltimoNome431,,,
196000433,F,,Y,PrimeiroNome432,UltimoNome432,,,
196000434,F,,Y,PrimeiroNome433,UltimoNome433,,,
196000435,F,,Y,PrimeiroNome434,UltimoNome434,,,
196000436,F,,Y,PrimeiroNome435,UltimoNome435,,,
196000437,F,,Y,PrimeiroNome436,UltimoNome436,,,
196000438,F,,Y,PrimeiroNome437,UltimoNome437,,,
196000439,F,,Y,PrimeiroNome438,UltimoNome438,,,
196000440,F,,Y,PrimeiroNome439,UltimoNome439,,,
196000441,F,,Y,PrimeiroNome440,UltimoNome440,,,
196000442,F,,Y,PrimeiroNome441,UltimoNome441,,,
196000443,F,,Y,PrimeiroNome442,UltimoNome442,,,
196000444,F,,Y,PrimeiroNome443,UltimoNome443,,,
196000445,F,,Y,PrimeiroNome444,UltimoNome444,,,
196000446,F,,Y,PrimeiroNome445,UltimoNome445,,,
196000447,F,,Y,PrimeiroNome446,UltimoNome446,,,
196000448,F,,Y,PrimeiroNome447,UltimoNome447,,,
